English,Persian,Source
swedish is spoken the most on finlands western and southern coast,گویش به زبان سویدی بیشتر در سواحل غربی و جنوبی فنلاند می باشد,infopankki
in a few localities swedish is spoken more commonly than finnish,در چند شهر از شهرهای فنلاند گویش به زبان سویدی عمومیت بیشتری نسبت به زبان فنلاندی دارد,infopankki
find out which is the most common language in your locality,می توانید بررسی کنید که گویش به چه زبانی در شهر شما عمومیت بیشتری دارد,infopankki
municipalities can be monolingual or bilingual,شهرستانهای فنلاند می توانند یک یا دو زبانه باشند,infopankki
if the municipality is bilingual you can use either finnish or swedish when dealing with municipal employees for example at the social welfare office sosiaalitoimisto,اگر شهرستانی دو زبانه باشد در این صورت می توانید از هر دو زبان جهت صحبت کردن با کارمندان شهرستان و از جمله کارمندان اداره تامین اجتماعی استفاده کنید,infopankki
some jobs require both finnish and swedish skills,در بعضی از محلهای کار نیاز به تسلط به هر دو زبان فنلاندی و سویدی می باشد,infopankki
in finnish schools both finnish and swedish are studied,در مدارس فنلاندی هر دو زبان فنلاندی و سویدی اموخته می شود,infopankki
pupils whose first language is finnish study swedish at school,دانش اموزانی که دارای زبان مادری فنلاندی هستند زبان سویدی را در مدرسه می اموزند,infopankki
pupils whose first language is swedish study finnish,دانش اموزانی هم که زبان مادری انها سویدی است زبان فنلاندی را در مدرسه می اموزند,infopankki
if an immigrant child goes to a school where the teaching language is finnish they will also study swedish as a foreign language together with the finnish children,چنانکه دانش اموز مهاجری در مدرسه ای تحصیل می کند که اموزش در انجا به زبان فنلاندی می باشد او نیز همراه با دیگر دانش اموزان فنلاندی زبان به تحصیل و اموختن زبان سویدی می پردازد,infopankki
what kind of a language is finnish,زبان فنلاندی چگونه زبانی است,infopankki
finnish is a finnougric language,فنلاندی از خانواده زبانهای فین و اوگری می باشد,infopankki
its kindred languages include for example estonian and hungarian,از جمله زبانهای هم خانواده ان می توان زبانهای استونیایی و مجاری را نام برد,infopankki
finnish has a high number of inflected forms for example the cases of nouns adjectives numerals and pronouns as well as the persons and tenses of verbs,در زبان فنلاندی شکلهای فراوانی برای صرف کلمات وجود دارد بعنوان مثال شکلهای مختلف صرف اسم و صیغه های مختلف صرف افعال از جمله این موارد می باشند,infopankki
there are fewer prepositions than in indoeuropean languages for example,در زبان فنلاندی تعداد حروف اضافه نسبت به زبانهای هندی و اروپایی کمتر است,infopankki
finnish also has some postpositions,همچنین زبان فنلاندی دارای تعدادی پسوند نیز می باشد,infopankki
word order is freer than in many other languages,ترتیب قرار گرفتن کلمات در جمله نسبت به بسیاری از زبانهای دیگر ازادانه تر است,infopankki
finnish also has many loanwords for example from swedish german russian and english,همچنین زبان در فنلاندی واژه های زیادی وجود دارد که برگرفته از زبانهای دیگری همچون سویدی المانی روسی و انگلیسی می باشند,infopankki
finnish pronunciation is very regular,تلفظ در زبان فنلاندی کاملا طبق قواعد خاصی می باشد,infopankki
words are always stressed on the first syllable,تاکید کلمه همواره بر روی بخش اول ان است,infopankki
in finland it is common to be on firstname terms with other people,در فنلاند معمولا از ضمیر مفرد تو برای خطاب همدیگر استفاده می کنند,infopankki
sometimes it may be polite to address someone more formally,البته گاهی مودبانه تر این است که از ضمیر شما استفاده شود,infopankki
for example customers or elderly persons are often addressed with the finnish plural form of you te,بعنوان مثال برای خطاب به ارباب رجوع و افراد مسن بیشتر از ضمیر شما استفاده می شود,infopankki
what kind of a language is swedish,زبان سویدی چگونه زبانی می باشد,infopankki
swedish is an indoeuropean language and belongs in the group of north germanic languages,سویدی از جمله زبانهای هندی و اروپایی بشمار می رود که جزو زبانهای ژرمنی شمالی است,infopankki
its kindred languages include for example norwegian danish and german,از جمله زبانهای هم خانواده ان عبارتند از زبان های نروژی دانمارکی و المانی,infopankki
swedish also has a great number of loanwords for example from french,در زبان سویدی نیز کلمات زیادی وجود دارد که بر گرفته از زبان فرانسوی می باشند,infopankki
in swedish verbs inflect for different tenses,در زبان سویدی فرم افعال در زمانهای مختلف تغییر میکنند,infopankki
nouns are divided into two genders,اسم ها به دو گروه مختلف تقسیم می شوند,infopankki
adjectives inflect by these genders,صرف صفتها مطابق با این گروهبندی می باشد,infopankki
swedish uses a large number of prepositions and its word order is very regular,در زبان سویدی از حروف اضافه فراوانی استفاده می شود و ترتیب قرار گیری کلمات در جمله دارای قاعده مشخصی است,infopankki
the swedish spoken in finland is called finland swedish,به زبان سویدی که در فنلاند گویش می شود زبان سویدی فنلاند گفته می شود,infopankki
it is pronounced somewhat differently from the swedish spoken in sweden,تلفظ ان با زبان سویدی که در سوید صحبت می شود تا حدودی متفاوت می باشد,infopankki
swedish pronunciation in both countries is fairly regular,تلفظ زبان سویدی تقریبا با قاعده می باشد,infopankki
domestic minority languages,زبانهای بومی که در اقلیت میباشند,infopankki
in addition to finnish and swedish finland has also some other domestic languages,علاوه بر دو زبان فنلاندی و سویدی در فنلاند به زبانهای بومی دیگری نیز صحبت می شود,infopankki
sami languages are the indigenous languages of finland,زبانهای سامی از ابتدایی ترین زبانهای موجود در فنلاند می باشند,infopankki
three sami languages are spoken here,در فنلاند به سه نوع زبان سامی گوناگون گویش می شود,infopankki
they belong in the group of finnougric languages,انها جزو زبانهای فین و اوگری هستند,infopankki
the romani language spoken in finland is an indoeuropean language,زبان رومانیایی فنلاند جزو زبانهای هندی و اروپایی است,infopankki
finland also has its own sign language,فنلاند دارای زبان اشاره ای مخصوص به خود می باشد,infopankki
you can find out more about these languages on the website of the research institute for the languages of finland,اگاهیهای لازم درباره این زبانها را می توانید از سایتهای اینترنتی مرکز تحقیقات زبانهای بومی دریافت کرد,infopankki
information about finnishfinnish swedish,اگاهیهایی درباره زبان فنلاندیفنلاندی سویدی,infopankki
information about swedishfinnish swedish,اگاهیهایی درباره زبان سویدیفنلاندی سویدی,infopankki
information about sami languagesfinnish swedish,اگاهیهایی درباره زبان سامیفنلاندی سویدی,infopankki
information about the romani language spoken in finlandfinnish,اگاهیهایی درباره زبان رومانیایی فنلاندفنلاندی,infopankki
information about finnish sign languagefinnish swedish,اگاهیهایی درباره زبان اشاره فنلاندیفنلاندی سویدی,infopankki
online dictionary for finnish sign languagefinnish,فرهنگ لغت اینترنتی زبان اشاره فنلاندیفنلاندی,infopankki
observing timetables is also important in finland,رعایت ساعات کاری نیز در فنلاند اهمیت دارد,infopankki
you must arrive at work promptly at the agreedupon time,بایستی بطور منظم و سر ساعت مقرر سرکار امد,infopankki
when the agreement is 800 this means exactly 800 not 810 being late is impolite because other people have to wait for the one who is late,منظور از ساعت 8 00 دقیقا راس ساعت 8 00 است نه اینکه 8 10 چنین تاخیری نوعی بی احترامی محسوب می شود چرا که سایر افراد مجبورند منتظر شخصی بمانند که تاخیر داشته است,infopankki
bilingual municipalities in finland,شهرستانهای سویدی زبان و شهرستانهای دو زبانه,infopankki
finland has two official languages finnish and swedish,فنلاند دارای دو زبان رسمی فنلاندی و سویدی است,infopankki
approximately 90 of finns speak finnish as their native language,زبان مادری حدود 90 درصد از فنلاندی ها زبان فنلاندی است,infopankki
approximately 5 of finns speak swedish as their native language,زبان مادری تقریبا 5 درصد فنلاندی ها سویدی است,infopankki
swedish is spoken the most on finlands western and southern coast,بیشتر در سواحل غربی و جنوبی کشور گویش به زبان فنلاندی است,infopankki
the swedish spoken in finland is called finland swedish suomenruotsi,زبان سویدی که در فنلاند صحبت میشود زبان سویدی فنلاند است,infopankki
it is pronounced somewhat differently from the swedish spoken in sweden,نحوه تلفظ کلمات زبان سویدی فنلاند با زبان سویدی که در خود کشور سوید گویش میشود تا حدی فرق می کند,infopankki
if you apply for finnish citizenship you need a certificate of sufficient proficiency in the finnish or swedish language,اگر می خواهید تابعیت فنلاند را درخواست کنید نیاز به مدرک زبان دارید که نشان دهد مهارت زبان فنلاندی یا سویدی شما کافی است,infopankki
for more information see the infofinland page official certificate of language proficiency,مطالعه بیشتر از و ازمدرک رسمی زبان,infopankki
you can use swedish with government authorities such as kela or the te office,هنگام صحبت با کارمندان ادارات دولتی از قبیل کارمندان اداره کلا و یا کارمندان اداره کار می توانید از زبان سویدی استفاده کنید,infopankki
when you register as a resident inform the local register office of the language in which you want to use services,زمانی که بعنوان شهروند در اداره ثبت احوال ثبت نام می کنید زبانی را که جهت انجام کارهای اداری استفاده می کنید به اداره ثبت احوال اطلاع دهید,infopankki
you can also change the language later,در اینده می توانید زبان اطلاع داده شده را عوض کنید,infopankki
municipalities in finland can be either monolingual or bilingual,شهرستانهای فنلاند می توانند دارای یک یا دو زبان رسمی باشند,infopankki
most of the municipalities in finland are finnishspeaking,بیشتر شهرستانهای فنلاند فنلاندی زبان هستند,infopankki
there are bilingual municipalities on the southern and western coasts,شهرستانهای دو زبانه بیشتر در سواحل غربی و جنوبی کشور واقع شده اند,infopankki
if your municipality of residence is bilingual you can also use swedish with municipal services such as the health centre,اگر شهرستان شما دارای دو زبان رسمی است در این صورت می توانید در هنگام استفاده از خدمات شهرستان مثلا در درمانگاه از زبان سویدی نیز استفاده کنید,infopankki
integration in swedish,وفق یابی به زبان سویدی,infopankki
swedishlanguage integration may be a good choice for you if,شرایط زیر ممکن است برای شما گزینه ای مناسب باشد,infopankki
you live in an area with many swedish speakers,در محل سکونت شما سویدی زبانهای زیادی زندگی میکنند,infopankki
you have family members or relatives who speak swedish,دارای اعضای خانواده یا خویشاوندان سویدی زبان هستید,infopankki
you already speak some swedish,تا حدی زبان سویدی را بلد هستید,infopankki
swedish language skills could be useful when you look for work,هنگامی که در جستجوی کار هستید دارا بودن مهارت زبان سویدی ممکن است برای شما فایده داشته باشد,infopankki
however please note that most jobs require proficiency in finnish,البته توجه داشته باشید که در اغلب محل های کار داشتن مهارت زبان فنلاندی الزامی است,infopankki
even if you choose swedishlanguage integration training you should also study finnish at some point,حتی اگر در طول دوره وفق یابی دوره اموزش زبان سویدی را انتخاب کنید شما بایستی در اینده و در فرصتی مناسب زبان فنلاندی را نیز بیاموزید,infopankki
in some municipalities you can participate in swedishlanguage integration training,در بعضی از شهرستانها می توانید در دوره اموزشی وفق یابی به زبان سویدی شرکت کنید,infopankki
if you can not get into swedishlanguage integration training in some cases you can still get support for independent swedish studies if it is agreed on in your integration or employment plan,اگر برای دوره اموزشی وفق یابی به زبان سویدی برگزیده نشدید در برخی از موارد می توانید برای تحصیلات خود انگیز زبان سویدی کمک دریافت کنید البته اگر برنامه وفق یابی و کاریابی شما در این خصوص توافق شده است,infopankki
ask about swedishlanguage integration when your preliminary assessment and integration plan is being prepared,زمانی که بررسی های اولیه و برنامه وفق یابی برای شما انجام داده میشود درباره وفق یابی به زبان سویدی سوال کنید,infopankki
according to law you have the right to choose finnish or swedish as your integration language,بر اساس قانون شما از این حق برخوردار هستید که یکی از زبانهای فنلاندی و یا سویدی را بعنوان زبان وفق یابی خود برگزیده و انتخاب کنید,infopankki
read more about integration services on the infofinland page integration into finland,مطالعه بیشتر درباره خدمات وفق یابی از سازگاری با فنلاند,infopankki
information about swedishlanguage integrationfinnish swedish,اطلاعاتی در مورد وفق یابی بوسیله زبان سویدیفنلاندی سویدی,infopankki
language studies as labour market training,اموختن زبان از طریق شرکت در دوره های اموزشی اداره کار,infopankki
you can also study swedish as labour market training if you are a customer of the employment and economic development office,اگر مشتری اداره کار می باشید می توانید از طریق شرکت در دوره های اموزشی اداره کار نیز زبان سویدی را بیاموزید,infopankki
labour market training is intended for unemployed jobseekers,دوره های اموزشی اداره کار به افراد بیکار متقاضی کار اختصاص دارند,infopankki
on the infofinland page services provided by the employment and economic development office you can find the conditions for becoming a customer of the office,از و از خدمات اداره کار و امور کسب معیشت در باره اینکه بر چه اساس می توانید ارباب رجوع اداره کار باشید مطالعه کنید,infopankki
labour market training is free of charge,دوره های اموزشی اداره کار برای شما رایگان می باشند,infopankki
ask for more information about swedish courses at your local te office,جهت کسب اطلاعات بیشتر در باره دوره های اموزش زبان سویدی از اداره کار خود سوال کنید,infopankki
childrens day care and education,مهد کودک و مدرسه کودکان,infopankki
in finland the language of day care preprimary education and comprehensive education is usually finnish or swedish,زبانهایی که در فنلاند در مهد کودک ها مدارس پیش دبستانی و مدارس مقطع ابتدایی استفاده میشود معمولا زبان فنلاندی یا سویدی است,infopankki
if you want your child to attend swedishlanguage day care preprimary education or comprehensive education ask your municipality about the possibility,اگر می خواهید که فرزند شما به مهد کودک مدرسه پیش دبستانی و یا مدرسه سویدی زبان برود درباره امکاناتی که در این خصوص وجود دارد از شهرداری شهرستان خود سوال کنید,infopankki
some municipalities organise preparatory education for comprehensive education for pupils whose language skills are not yet good enough for normal education,بعضی از شهرستان ها برای ان دسته از دانش اموزانی که مهارت زبانی انها برای شرکت در کلاسهای عادی مدارس مقطع ابتدایی کافی نیست دوره اموزش اماده سازی قبل از ورود به مقطع ابتدایی را برنامه ریزی می کنند,infopankki
ask your municipality whether they organise preparatory education in swedish,درباره اینکه ایا دوره اموزش اماده سازی به زبان سویدی در شهرستان شما برگزار میشود از شهرداری شهرستان خود سوال کنید,infopankki
if the childs native language is something other than finnish or swedish the municipality may organise native language education in the childs own native language,اگر زبان مادری کودک زبان دیگری غیر از زبانهای فنلاندی یا سویدی باشد در اینصورت برای کودک مذکور اموزش زبان مادری خود کودک توسط شهرستان برنامه ریزی میشود,infopankki
if the child attends a swedishlanguage school he or she can study swedish as a second language,اگر کودک به مدرسه سویدی زبان میرود او می تواند زبان سویدی را بعنوان زبان مادری دوم خود بیاموزد,infopankki
read more about day care preprimary education and comprehensive education on the infofinland page child education,مطالعه بیشتر درباره مهد کودک پیش دبستانی و اموزش مقطع ابتدایی با مراجعه به و تحصیلات کودکان,infopankki
upper secondary school and vocational school,دبیرستان و مدارس حرفه ای,infopankki
after comprehensive school young people can study at upper secondary school or vocational school,بعد از اتمام مقطع ابتدایی می توانید در دبیرستان یا در مدارس حرفه ای ادامه تحصیل دهید,infopankki
there are swedishlanguage vocational schools and upper secondary schools in swedishspeaking municipalities bilingual municipalities and some finnishspeaking municipalities,مدارس حرفه ای و دبیرستان های سویدی زبان در شهرستانهایی که دارای دو زبان رسمی هستند و همچنین در بعضی از شهرستانهای فنلاندی زبان واقع شده اند,infopankki
some vocational schools and upper secondary schools organise preparatory training for studies,بعضی از مدارس حرفه ای و دبیرستان ها برای دروس مختلف دوره اموزشی اماده سازی را برنامه ریزی می کنند,infopankki
preparatory training gives you knowledge and skills that you will need in further studies,در طول دوره اموزشی اماده سازی اطلاعات و مهارت هایی را دریافت می کنید که برای ادامه تحصیل لازم دارید,infopankki
you can also improve your language skills,همچنین می توانید مهارت زبانی خود را بهتر کنید,infopankki
you can search for swedishlanguage vocational and upper secondary education and their preparatory training in the service,برای جستجوی مدارس حرفه ای و دبیرستان های سویدی زبان و همچنین دوره های اماده سازی مختص به انها می توانید به خدمات مراجعه کنید,infopankki
read more on the infofinland page after comprehensive school,مطالعه بیشتر از و پس از اتمام تحصیلات مقطع ابتدایی,infopankki
basic information on vocational educationfinnish swedish english,اطلاعات اولیه درباره تحصیلات حرفه ایفنلاندی سویدی انگلیسی,infopankki
information on upper secondary school studiesfinnish swedish,اطلاعاتی درباره دروس دبیرستانفنلاندی سویدی,infopankki
higher education,تحصیلات عالی,infopankki
there are swedishlanguage universities and universities of applied sciences in finland,فنلاند دارای دانشگاه های عادی و دانشگاه های علوم کاربردی سویدی زبان است,infopankki
there are also a few bilingual universities where you can study in swedish,علاوه بر این چند دانشگاه وجود دارند که تحصیلات در انها به دو زبان مختلف بوده و در انها می توان به زبان سویدی تحصیل کرد,infopankki
you can search for swedishlanguage higher education in the service,برای جستجوی اموزشگاه های عالی سویدی زبان می توانید به خدمات مراجعه کنید,infopankki
read more about higher education on the infofinland page higher education,مطالعه بیشتر درباره تحصیلات عالی از و تحصیلات عالی,infopankki
information on studying at an institute of higher educationfinnish swedish english,اطلاعاتی درباره دروس مدرسه عالیفنلاندی سویدی انگلیسی,infopankki
where can i study swedish,در کجا می توانم زبان سویدی را بیاموزم,infopankki
you can study swedish at adult education centres workers institutes and university summer courses,زبان سویدی را می توانید بعنوان مثال در دانشسراهای ملی دانشسراهای مردمی و دانشگاه های تابستانی بیاموزید,infopankki
ask your local education department the study counsellors of educational institutes or counselling services for immigrants about swedish studies,از اداره اموزش شهرستان خود از مشاورین تحصیلی اموزشگاه ها و یا از خدمات راهنمای مهاجرین می توانید درباره تحصیل به زبان سویدی سوال کنید,infopankki
read more on the infofinland page studying as a hobby,مطالعه بیشتر در این باره با مراجعه به و تحصیل کردن به عنوان سرگرمی و فعالیت اوقات فراغت,infopankki
swedish language online,زبان سویدی از طریق اینترنت,infopankki
applications,برنامه ها,infopankki
you can learn swedish language from applications that you can download onto your mobile phone or tablet,می توانید به کمک برنامه های مختلفی که بر روی گوشی موبایل یا تبلت خود دانلود میکنید به اموختن زبان سویدی بپردازید,infopankki
search for swedish language applications in your app store such as google play or app store with search terms learn swedish swedish language lar dig svenska or svenska,از بازار برنامه خود از قبیل و یا با استفاده از کلمات کلیدی,infopankki
some of the applications are subject to a charge,و یا می توانید به جستجوی برنامه زبان سویدی بپردازید,infopankki
exercises and courses online,تمرینات و اموزشهای اینترنتی,infopankki
you can find swedish courses on various levels of difficulty online,می توانید از اینترنت سطوح مختلف دوره های اموزشی زبان سویدی را بیابید,infopankki
you can do things like complete exercises or play games study grammar and vocabulary and read texts online,در اینترنت امکان انجام تمرینات و بازیهای مختلف وجود دارد می توانید دستور زبان و یا لغت های جدید را بیاموزید و همچنین مطالب مختلف را بخوانید,infopankki
swedish language onlinefinnish swedish english,زبان سویدی از طریق اینترنتفنلاندی سویدی انگلیسی,infopankki
exercises and courses onlinefinnish,تمرینات و اموزشهای اینترنتیفنلاندی,infopankki
if you want to apply for finnish citizenship you will need an official certificate of your skills in finnish or swedish,اگر می خواهید تابعیت فنلاند را درخواست کنید نیاز به مدرک رسمی زبان فنلاندی یا سویدی دارید,infopankki
you may also need the certificate when applying for a job or study place,ممکن است که هنگام درخواست کار یا محل تحصیل نیز به این مدرک نیاز باشد,infopankki
you can prove your language skills with the following,وضعیت زبان خود را می توانید به روش های زیر نشان دهید,infopankki
national certificate of language proficiency yleinen kielitutkinto,توسط دریافت مدرک قبولی ازمون عمومی زبان,infopankki
civil service language proficiency certificate in finnish or swedish valtionhallinnon suomen tai ruotsin kielen kielitutkinto,دریافت مدرک ازمون زبان فنلاندی و سویدی ادارات دولتی,infopankki
the finnish or swedish grade in your school certificate paattotodistus,با نمرات دروس فنلاندی یا سویدی درج شده در کارنامه نهایی,infopankki
the national certificate of language proficiency,مدرک عمومی زبان,infopankki
the national certificate of language proficiency test is intended for adults,مدرک عمومی زبان یعنی ازمون زبان مخصوص بزرگسالان است,infopankki
with it you can prove your proficiency in finnish or swedish,توسط این مدرک عمومی زبان می توانید وضعیت زبان فنلاندی و یا سویدی خود را نشان دهید,infopankki
the certificate is subject to a charge,شرکت در این ازمون هزینه ای را در بر دارد,infopankki
after the test you will receive a certificate stating the level of your language proficiency,بعد از گذراندن این امتحان مدرکی را که نشانگر سطح زبان شماست دریافت میکنید,infopankki
the language certificate has three levels basic intermediate and advanced,ازمونهای زبان دارای سه سطح می باشند سطح پایه سطح متوسط و سطح بالا,infopankki
each level of the certificate covers two proficiency levels of which there are six altogether,هر کدام از این سطوح شامل دو رده مهارتی بوده و مجموع این رده های مهارتی شش رده می باشد,infopankki
the basic level is for those who are able to use the language in question in everyday situations ie whose proficiency level is 12,سطح پایه اختصاص به افرادی دارد که در شرایط عادی زندگی روزمره می توانند از زبان مورد نظر استفاده کنند یعنی دارای رده های مهارتی 2 1 هستند,infopankki
the intermediate level is for those who can speak the language quite well ie whose proficiency level is 34,سطح متوسط مخصوص افرادی است که زبان را نسبتا خوب بلد هستند یعنی دارای رده های مهارتی 4 3 هستند,infopankki
the advanced level is for those who speak the language extremely well ie whose proficiency level is 56,بالاترین سطح نیز برای کسانی است که تسلط بسیار خوبی بر روی زبان دارند یعنی دارای رده های مهارتی 5 6 هستند,infopankki
more detailed descriptions of the proficiency levels are provided on the website of the finnish national board of education,برای اشنایی بیشتر با این رده های مهارتی به سایت اینترنتی اداره کل اموزش و پرورش مراجعه کنید,infopankki
if you want to apply for finnish citizenship kansalaisuus you will need to prove that you have a satisfactory level of finnish or swedish which means passing the written and oral part of the national certificate of language proficiency at the minimum level of 3,اگر می خواهید تابعیت فنلاند را درخواست کنید می توانید با دریافت رده مهارتی 3 از بخش کتبی و شفاهی ازمون عمومی زبان نشان دهید که باندازه کافی به زبان فنلاندی یا سویدی تسلط دارید,infopankki
the language test takes 36 hours,ازمون زبان 6 3 ساعت طول میکشد,infopankki
the subject matters in the assignments are linked to everyday life such as leisure time training and the most common work situations,سیوالات این ازمون در مورد موضوعات زندگی روزمره از قبیل اوقات فراغت تحصیل و معمولی ترین شرایط کاری می باشند,infopankki
the test consists of different kinds of questions which require the following skills,این ازمون شامل سیوالات مختلفی است که برای پاسخ دادن به انها به مهارتهای زیر نیاز دارید,infopankki
reading comprehension,درک مطلب,infopankki
writing,نوشتار,infopankki
grammar and vocabulary,دستور زبان و دایره لغات,infopankki
listening comprehension,درک معنی صحبت,infopankki
speaking,صحبت کردن,infopankki
the test can be taken in different parts of finland,شرکت در این ازمون در مکان های مختلف فنلاند مقدور می باشد,infopankki
you can find out more about enrolment on the website of the finnish national board of education opetushallitus,اگاهی بیشتر درباره ثبت نام را می توانید از سایتهای اینترنتی اداره کل اموزش و پرورش دریافت کنید,infopankki
the tests are classified according to a different scale than the courses,این ازمون ها نیز همانند دوره های اموزش زبان به سطوح مختلفی تقسیم می شوند,infopankki
if you have completed a language course that has been classified according to the common european framework of reference the course content corresponds to the level of the national certificate of language proficiency roughly in the following way,اگر دوره اموزش زبانی که در ان شرکت کرده اید مطابق با استاندارد مرجع اروپا تقسیم بندی شده است در این صورت همخوانی سطوح دوره های اموزشی زبان با امتحان زبان به ترتیب زیر می باشد,infopankki
before you enrol for a test please read about the requirements for the different levels carefully,قبل از اینکه برای ازمون زبان ثبت نام کنید با شرایط لازم برای شرکت در سطوح مختلف این ازمون بدقت اشنا شوید,infopankki
you can also ask your finnish or swedish teacher for advice,می توانید در این باره از معلم کلاس زبان خود نیز سیوال کنید,infopankki
you can find out more about the national certificate of language proficiency on the website of the finnish national board of education,اطلاعات بیشتر درباره ازمون عمومی زبان را می توانید از سایتهای اینترنتی اداره کل اموزش و پرورش دریافت کنید,infopankki
national certificates of language proficiencyfinnish swedish english,ازمونهای عمومی زبانفنلاندی سویدی انگلیسی,infopankki
skill levels of the national certificates of language proficiencyfinnish swedish english,سطوح ازمونهای عمومی زبانفنلاندی سویدی انگلیسی,infopankki
enrolment for a national certificate of language proficiency test and test feesfinnish swedish english,ثبت نام برای ازمونهای عمومی زبان و هزینه این ازمونهافنلاندی سویدی انگلیسی,infopankki
civil service language proficiency certificate for finnish and swedish,مدرک قبولی ازمون زبان فنلاندی یا سویدی ادارات دولتی,infopankki
if you want to work in public administration you will usually need a certificate of your skills in finnish or swedish,اگر میخواهید در ادارات دولتی کار کنید معمولا به داشتن مدرک زبان فنلاندی یا سویدی نیاز دارید,infopankki
you can prove your ability in one of these languages with a civil service language proficiency certificate,می توانید تسلط به زبان فنلاندی یا سویدی خود را با اخذ مدرک قبولی ازمون زبان ادارات دولتی نشان دهید,infopankki
ask your employer what the language proficiency requirements are for the job you want to apply for,می توانید از کارفرما درباره شرایط زبانی لازم جهت استخدام در محل کاری که از انجا تقاضای کار کرده اید سیوال کنید,infopankki
the test has three levels satisfactory good and excellent,مدارک زبان دارای سه سطح مختلف هستند رضایتبخش خوب و عالی,infopankki
the test level that you need to pass depends on the job or study place in question,بستگی به محل کار و یا تحصیل شما دارد که کدامیک از این مدارک را باید دریافت کنید,infopankki
to be granted finnish citizenship you will require a certificate of at least satisfactory skills,برای دریافت تابعیت فنلاند شما باید حداقل دارای مدرکی که نشان دهد در حد رضایتبخش به زبان تسلط دارید باشید,infopankki
satisfactory or good level tests can be taken in different parts of finland,ازمون زبان برای سطوح رضایتبخش و خوب در مکان های مختلف فنلاند برگزار می شود,infopankki
the website of the finnish national board of education has a list of the towns where the test can be taken,از سایتهای اینترنتی اداره کل اموزش و پرورش می توانید فهرست اسامی شهرستانهایی را که ازمون زبان در انها برگزار می شود را بیابید,infopankki
the test demonstrating excellent skills can only be taken in helsinki,شرکت در ازمون زبان برای دریافت سطح عالی مدرک زبان فقط در هلسینکی امکان پذیر است,infopankki
the test is composed of various kinds of questions which involve reading and listening to texts and answering questions,این ازمون شامل بخشهای مختلفی است ضمن این ازمون متون مختلفی را خوانده و یا به انها گوش فراداده و به سیوالات مربوط به انها پاسخ می دهید,infopankki
it also includes interview discussion and writing assignments,علاوه بر این موارد ازمون مذکور شامل مصاحبه مکالمه و همچنین نوشتار نیز می باشد,infopankki
the civil service language proficiency certificate can be substituted with specific completed studies,در صورتیکه شما یکسری واحدهای درسی مشخص را گذرانده باشید در این صورت نیازی به مدرک زبان لازم برای ادارات دولتی نخواهید بود,infopankki
for example a ba ma maturity exam kypsyysnayte taken at a university in finnish or swedish corresponds to the civil service language proficiency certificates good level,بعنوان مثال اگر ازمونی را که مخصوص ارزیابی درجه امادگی زبان می باشد را به زبان فنلاندی یا سویدی گذرانده اید در این صورت می توان ان را معادل سطح خوب مدرک زبان لازم برای ادارات دولتی بحساب اورد,infopankki
for more information go to the website of the finnish national board of education,کسب اگاهی بیشتر در این باره از سایتهای اینترنتی اداره کل اموزش و پرورش مقدور می باشد,infopankki
civil service language proficiency certificatesfinnish swedish,مدارک زبان لازم برای ادارات دولتیفنلاندی سویدی,infopankki
skill levels of the civil language proficiency certificatefinnish swedish,سطوح مختلف ازمون زبان ادارات دولتیفنلاندی سویدی,infopankki
recipients of the civil language proficiency certificate finnishfinnish swedish,دریافت کنندگان مدرک زبان مخصوص ادارات دولتی به زبان فنلاندیفنلاندی سویدی,infopankki
recipients of the civil language proficiency certificate swedishfinnish swedish,دریافت کنندگان مدرک زبان مخصوص ادارات دولتی به زبان سویدیفنلاندی سویدی,infopankki
certificate of language proficiency on the basis of studies,دریافت مدرک زبان بر اساس دروس گذرانده شده,infopankki
if you want to apply for finnish citizenship you can also prove your proficiency in finnish or swedish if you have one of the following,چنانکه می خواهید تابعیت فنلاند را درخواست کنید می توانید با داشتن یکی از ویژگیهای زیر تسلط خود را به زبان فنلاندی یا سویدی ثابت کنید,infopankki
basic education certificate with a pass in finnish or swedish as a first or second language,کارنامه نهایی تحصیلات ابتدایی که در ان نمره قبولی دروس فنلاندی یا سویدی بعنوان زبان مادری یا زبان دوم درج شده است,infopankki
general upper secondary school certificate with a pass in finnish or swedish as a first or second language,کارنامه نهایی دبیرستان که در ان نمره قبولی دروس فنلاندی یا سویدی بعنوان زبان مادری یا زبان دوم درج شده است,infopankki
finnish or swedish matriculation examination with a pass in finnish or swedish as a first or second language,مدرک دیپلم فنلاندی یا سویدی که در ان نمره قبولی دروس فنلاندی یا سویدی بعنوان زبان مادری یا زبان دوم درج شده است,infopankki
a certificate of vocational upper secondary qualification that you have completed in finnish or swedish,کارنامه قبولی تحصیلات حرفه ای گذرانده به زبان فنلاندی یا سویدی مدرک قبولی ازمون حرفه ای گذرانده شده به زبان فنلاندی یا سویدی,infopankki
a certificate of further vocational qualification that you have taken in finnish or swedish,کارنامه قبولی تحصیلات حرفه ای گذرانده به زبان فنلاندی یا سویدی مدرک قبولی ازمون حرفه ای گذرانده شده به زبان فنلاندی یا سویدی,infopankki
a certificate of civil service finnish or swedish studies which you have taken at a university,مدرک واحدهای درسی زبان اداری فنلاندی و یا زبان اداری سویدی که در دانشگاه و یا در مدرسه عالی گذرانده اید,infopankki
